date,model,variable,RGR,n_assets,perturbation_percentage
2023-09-01,xgboost,ret_3m,0.996413,407,0.05
2023-09-01,xgboost,amihud,0.994919,407,0.05
2023-09-01,xgboost,ret_1w,0.993432,407,0.05
2023-09-01,xgboost,ret_6m,0.993237,407,0.05
2023-09-01,xgboost,ret_12m,0.986564,407,0.05
2023-09-01,xgboost,vol_ratio,0.980365,407,0.05
2023-09-01,xgboost,ret_1m,0.956112,407,0.05
2023-09-01,xgboost,log_mktcap,0.86163,407,0.05
2023-10-02,xgboost,vol_1m,0.999301,407,0.05
2023-10-02,xgboost,vol_3m,0.99902,407,0.05
2023-10-02,xgboost,ret_1w,0.997589,407,0.05
2023-10-02,xgboost,amihud,0.995028,407,0.05
2023-10-02,xgboost,ret_12m,0.988786,407,0.05
2023-10-02,xgboost,vol_ratio,0.985218,407,0.05
2023-10-02,xgboost,ret_6m,0.976099,407,0.05
2023-10-02,xgboost,ret_3m,0.974233,407,0.05
2023-10-02,xgboost,ret_1m,0.960847,407,0.05
2023-10-02,xgboost,log_mktcap,0.879998,407,0.05
2023-11-01,xgboost,vol_1m,0.999902,407,0.05
2023-11-01,xgboost,vol_3m,0.999555,407,0.05
2023-11-01,xgboost,amihud,0.99899,407,0.05
2023-11-01,xgboost,ret_3m,0.996178,407,0.05
2023-11-01,xgboost,ret_1w,0.991427,407,0.05
2023-11-01,xgboost,ret_6m,0.99051,407,0.05
2023-11-01,xgboost,ret_1m,0.981943,407,0.05
2023-11-01,xgboost,vol_ratio,0.980034,407,0.05
2023-11-01,xgboost,ret_12m,0.974405,407,0.05
2023-11-01,xgboost,log_mktcap,0.867973,407,0.05
2023-12-01,xgboost,vol_1m,0.999982,407,0.05
2023-12-01,xgboost,vol_3m,0.999418,407,0.05
2023-12-01,xgboost,ret_1w,0.997828,407,0.05
2023-12-01,xgboost,vol_ratio,0.996852,407,0.05
2023-12-01,xgboost,amihud,0.995158,407,0.05
2023-12-01,xgboost,ret_6m,0.990857,407,0.05
2023-12-01,xgboost,ret_3m,0.990707,407,0.05
2023-12-01,xgboost,ret_12m,0.986047,407,0.05
2023-12-01,xgboost,ret_1m,0.960907,407,0.05
2023-12-01,xgboost,log_mktcap,0.85826,407,0.05
2024-01-01,xgboost,vol_1m,0.99985,407,0.05
2024-01-01,xgboost,ret_1w,0.998565,407,0.05
2024-01-01,xgboost,amihud,0.996085,407,0.05
2024-01-01,xgboost,ret_6m,0.995604,407,0.05
2024-01-01,xgboost,vol_3m,0.995589,407,0.05
2024-01-01,xgboost,vol_ratio,0.992012,407,0.05
2024-01-01,xgboost,ret_3m,0.990213,407,0.05
2024-01-01,xgboost,ret_12m,0.987524,407,0.05
